j ;Ptz;t ;K;DA ;DB ;DC ;DD ;Y ;Pt;Pe;Zg;Zw;PtA ;PtB ;PtC ;PtD ;PtS;E;PeA ;PeB ;PeC ;PeD ;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
69;393,3;4,8;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
70;390,1;4,2;186,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
71;388,5;3,8;183,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
72;363,6;3,4;170,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
73;332;5,0;172,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
74;327,8;5,0;170,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
75;331,5;5,1;167,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
76;345,1;4,6;167,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
77;387,2;4,1;170,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
78;403;4,7;172,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
79;421,2;4,3;186,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
80;434,5;4,1;211,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
81;430,1;4,2;211,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
82;422;4,5;232,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
83;366,7;5,0;226,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
84;336,5;5,7;232,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
85;275;6,3;232,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
86;265,4;6,5;232,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
87;280,5;6,5;232,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
88;353,8;6,0;232,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
89;422,1;5,1;234,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
90;447,5;4,4;254,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
91;448,6;4,0;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
92;437,2;3,6;254,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
93;434,8;3,2;232,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
94;452,1;2,8;211,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
95;467,1;2,4;244,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
96;454,5;2,1;185,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
97;436;1,3;181,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
98;423,9;0,3;174,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
99;420,9;0,7;173,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
100;394,3;1,0;173,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
101;367,2;1,8;181,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
102;370,5;1,6;183,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
103;370,4;4,3;244,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
104;367,6;4,7;232,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
105;359,7;5,0;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
106;327,3;5,4;327,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
107;297,5;6,5;346,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
108;274,5;7,9;353,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
109;240,5;9,0;353,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
110;251,6;9,5;364,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
111;275,5;9,4;364,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
112;332,3;8,8;364,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
113;354,7;7,9;392,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
114;351;7,5;403,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
115;354,5;7,5;392,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
116;357,9;7,7;392,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
117;385,4;7,4;383,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
118;392,5;6,9;339,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
119;385;6,6;316,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
120;369,2;6,3;247,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
121;358,3;4,1;185,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
122;352,2;4,3;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
123;349,4;4,7;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
124;350,1;4,3;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
125;351,9;3,7;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
126;349,6;4,1;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
127;357,9;4,2;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
128;357,9;4,4;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
129;358,8;4,8;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
130;353,3;5,6;182,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
131;343;6,8;185,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
132;310,8;8,1;187,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
133;288,5;9,2;187,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
134;270,6;9,7;194,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
135;270,2;9,7;194,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
136;286;9,1;196,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
137;286,6;8,2;249,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
138;293,4;7,8;249,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
139;290,6;7,4;249,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
140;310,4;6,9;249,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
141;361,9;6,5;249,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
142;353;6,3;203,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
143;343;6,0;187,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
144;329,9;6,0;182,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
145;315,4;6,2;184,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
146;313,4;5,6;183,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
147;327,3;5,7;182,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
148;333,4;5,3;182,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
149;332,8;5,4;183,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
150;334,5;5,6;184,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
151;334;5,8;229,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
152;334,2;5,7;222,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
153;345;5,8;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
154;348,2;5,9;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
155;346,4;5,8;241,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
156;346,8;5,8;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
157;357,5;5,7;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
158;368,3;5,3;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
159;377,2;5,1;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
160;427,7;4,7;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
161;448,4;4,0;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
162;455,5;3,8;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
163;457,9;3,7;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
164;395,3;3,4;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
165;445;3,2;293,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
166;418,6;3,0;211,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
167;404,4;2,7;247,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
168;485,2;2,5;187,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
169;424,8;0,7;185,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
170;410,6;0,6;184,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
171;403,5;0,5;183,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
172;481,8;0,4;183,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
173;478,3;0,4;184,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
174;462;0,4;185,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
175;463,5;0,4;229,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
176;461,9;0,2;231,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
177;465,4;0,2;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
178;465,2;0,2;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
179;466,7;0,1;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
180;465;0,2;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
181;465,3;0,4;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
182;462,3;0,6;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
183;468,1;0,7;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
184;474,9;0,5;232,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
185;422,6;0,3;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
186;462;0,4;246,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
187;462,6;0,4;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
188;466,4;0,1;254,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
189;462,5;0,2;240,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
190;454,3;0,2;211,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
191;455,2;-0,1;245,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
192;448,2;-0,5;185,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
193;430,1;-1,0;182,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
194;422,1;-1,0;182,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
195;411,5;-1,1;181,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
196;411,1;-1,9;181,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
197;414;-2,5;182,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
198;416,2;-2,9;182,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
199;415;-2,9;182,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
200;436,9;-3,2;185,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
201;437,6;-3,4;225,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
202;438,6;-3,2;247,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
203;411,9;-2,6;249,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
204;465;-1,5;249,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
205;410,4;0,2;249,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
206;393;1,8;249,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
207;398,1;2,3;249,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
208;418,3;2,3;247,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
209;423,1;2,1;249,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
210;441,9;1,9;251,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
211;467,8;2,1;249,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
212;471;2,5;249,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
213;466,9;2,5;247,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
214;463,3;2,1;187,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
215;447,1;1,9;183,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
216;455,6;1,9;170,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
217;425,2;1,2;165,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
218;427,7;1,6;137,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
219;425,3;1,0;137,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
220;425,4;1,9;137,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
221;427,2;2,0;137,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
222;433;2,1;137,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
223;433,4;2,2;137,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
224;433,7;1,8;137,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
225;427,9;2,0;150,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
226;419,1;2,5;173,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
227;407,7;3,0;181,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
228;401,8;3,7;183,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
229;378;4,1;183,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
230;355,9;4,2;183,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
231;342,4;4,3;182,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
232;368,3;4,1;181,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
233;415,3;3,8;184,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
