j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
27;462,4;2,9;216,8;1;1;1;1;52737,65;462,40;232,17;0,00;2774,44;0,00;0,00;220,00;242,40;0,00;0,00;0,00;0,00;110,00;122,17;0,00;0,00;1322,82;1451,62;0,00;0,00;0,00;0,00
28;477,1;2,8;170,2;1;1;1;1;43430,58;477,10;240,15;0,00;2858,97;0,00;0,00;220,00;257,10;0,00;0,00;0,00;0,00;110,00;130,15;0,00;0,00;1322,82;1536,15;0,00;0,00;0,00;0,00
29;447,4;2,9;174,2;1;1;1;1;41271,89;447,40;224,02;0,00;2688,19;0,00;0,00;220,00;227,40;0,00;0,00;0,00;0,00;110,00;114,02;0,00;0,00;1322,82;1365,37;0,00;0,00;0,00;0,00
30;432;2,7;177,3;1;1;1;1;40323,00;432,00;215,65;0,00;2599,64;0,00;0,00;220,00;212,00;0,00;0,00;0,00;0,00;110,00;105,65;0,00;0,00;1322,82;1276,82;0,00;0,00;0,00;0,00
31;422;2,1;179,3;1;1;1;1;39676,33;422,00;210,22;0,00;2542,14;0,00;0,00;220,00;202,00;0,00;0,00;0,00;0,00;110,00;100,22;0,00;0,00;1322,82;1219,32;0,00;0,00;0,00;0,00
32;426,2;2;173,8;1;1;1;1;38960,31;426,20;212,50;0,00;2566,29;0,00;0,00;220,00;206,20;0,00;0,00;0,00;0,00;110,00;102,50;0,00;0,00;1322,82;1243,47;0,00;0,00;0,00;0,00
33;489,5;2,4;187,3;1;1;1;1;48927,78;489,50;246,89;0,00;2930,27;0,00;0,00;220,00;269,50;0,00;0,00;0,00;0,00;110,00;136,89;0,00;0,00;1322,82;1607,45;0,00;0,00;0,00;0,00
34;407,1;2,9;293,4;1;1;1;1;61133,00;407,10;202,13;0,00;2456,47;0,00;0,00;220,00;187,10;0,00;0,00;0,00;0,00;110,00;92,13;0,00;0,00;1322,82;1133,65;0,00;0,00;0,00;0,00
35;476;4;294,9;1;1;1;1;73190,02;476,00;239,56;0,00;2852,64;0,00;0,00;220,00;256,00;0,00;0,00;0,00;0,00;110,00;129,56;0,00;0,00;1322,82;1529,82;0,00;0,00;0,00;0,00
36;469,1;6,1;275,1;1;1;1;1;67343,95;469,10;235,81;0,00;2812,97;0,00;0,00;220,00;249,10;0,00;0,00;0,00;0,00;110,00;125,81;0,00;0,00;1322,82;1490,15;0,00;0,00;0,00;0,00
37;469,4;10,4;266,4;1;1;1;1;65338,95;469,40;235,97;0,00;2814,69;0,00;0,00;220,00;249,40;0,00;0,00;0,00;0,00;110,00;125,97;0,00;0,00;1322,82;1491,87;0,00;0,00;0,00;0,00
38;440,2;12,6;264,5;1;1;1;1;60391,50;440,20;220,11;0,00;2646,79;0,00;0,00;220,00;220,20;0,00;0,00;0,00;0,00;110,00;110,11;0,00;0,00;1322,82;1323,97;0,00;0,00;0,00;0,00
39;396,5;11,3;289,9;1;1;1;1;58646,06;396,50;196,37;0,00;2395,52;0,00;0,00;220,00;176,50;0,00;0,00;0,00;0,00;110,00;86,37;0,00;0,00;1322,82;1072,70;0,00;0,00;0,00;0,00
40;379,6;9;256;1;1;1;1;49463,20;379,60;187,19;0,00;2298,34;0,00;0,00;220,00;159,60;0,00;0,00;0,00;0,00;110,00;77,19;0,00;0,00;1322,82;975,52;0,00;0,00;0,00;0,00
41;342,3;7;280,8;1;1;1;1;48028,10;342,30;166,93;0,00;2083,87;0,00;0,00;220,00;122,30;0,00;0,00;0,00;0,00;110,00;56,93;0,00;0,00;1322,82;761,05;0,00;0,00;0,00;0,00
42;279,4;5,8;283,2;1;1;1;1;38098,22;279,40;132,76;0,00;1722,19;0,00;0,00;220,00;59,40;0,00;0,00;0,00;0,00;110,00;22,76;0,00;0,00;1322,82;399,37;0,00;0,00;0,00;0,00
43;272,8;5,8;290,5;1;1;1;1;37957,24;272,80;129,18;0,00;1684,24;0,00;0,00;220,00;52,80;0,00;0,00;0,00;0,00;110,00;19,18;0,00;0,00;1322,82;361,42;0,00;0,00;0,00;0,00
44;306,1;5,5;278,8;1;1;1;1;41835,39;306,10;147,26;0,00;1875,72;0,00;0,00;220,00;86,10;0,00;0,00;0,00;0,00;110,00;37,26;0,00;0,00;1322,82;552,90;0,00;0,00;0,00;0,00
45;344,4;5,3;257,4;1;1;1;1;44437,44;344,40;168,07;0,00;2095,94;0,00;0,00;220,00;124,40;0,00;0,00;0,00;0,00;110,00;58,07;0,00;0,00;1322,82;773,12;0,00;0,00;0,00;0,00
46;346,8;5,1;237,4;1;1;1;1;41410,52;346,80;169,37;0,00;2109,74;0,00;0,00;220,00;126,80;0,00;0,00;0,00;0,00;110,00;59,37;0,00;0,00;1322,82;786,92;0,00;0,00;0,00;0,00
47;347,5;5,2;177;1;1;1;1;31254,98;347,50;169,75;0,00;2113,77;0,00;0,00;220,00;127,50;0,00;0,00;0,00;0,00;110,00;59,75;0,00;0,00;1322,82;790,95;0,00;0,00;0,00;0,00
48;357,1;4,8;200,2;1;1;1;1;36337,10;357,10;174,97;0,00;2168,97;0,00;0,00;220,00;137,10;0,00;0,00;0,00;0,00;110,00;64,97;0,00;0,00;1322,82;846,15;0,00;0,00;0,00;0,00
49;375,9;4,6;202,9;1;1;1;1;39077,12;375,90;185,18;0,00;2277,07;0,00;0,00;220,00;155,90;0,00;0,00;0,00;0,00;110,00;75,18;0,00;0,00;1322,82;954,25;0,00;0,00;0,00;0,00
50;396,7;4,4;186,9;1;1;1;1;38442,30;396,70;196,48;0,00;2396,67;0,00;0,00;220,00;176,70;0,00;0,00;0,00;0,00;110,00;86,48;0,00;0,00;1322,82;1073,85;0,00;0,00;0,00;0,00
51;421,4;4,2;199,1;1;1;1;1;43767,60;421,40;209,90;0,00;2538,69;0,00;0,00;220,00;201,40;0,00;0,00;0,00;0,00;110,00;99,90;0,00;0,00;1322,82;1215,87;0,00;0,00;0,00;0,00
52;403,4;3,9;199,2;1;1;1;1;41653,66;403,40;200,12;0,00;2435,19;0,00;0,00;220,00;183,40;0,00;0,00;0,00;0,00;110,00;90,12;0,00;0,00;1322,82;1112,37;0,00;0,00;0,00;0,00
53;428,7;3,9;187,5;1;1;1;1;42152,24;428,70;213,86;0,00;2580,67;0,00;0,00;220,00;208,70;0,00;0,00;0,00;0,00;110,00;103,86;0,00;0,00;1322,82;1257,85;0,00;0,00;0,00;0,00
54;434,6;3,9;198,3;1;1;1;1;45158,85;434,60;217,07;0,00;2614,59;0,00;0,00;220,00;214,60;0,00;0,00;0,00;0,00;110,00;107,07;0,00;0,00;1322,82;1291,77;0,00;0,00;0,00;0,00
55;392;3,9;167,3;1;1;1;1;34115,30;392,00;193,93;0,00;2369,64;0,00;0,00;220,00;172,00;0,00;0,00;0,00;0,00;110,00;83,93;0,00;0,00;1322,82;1046,82;0,00;0,00;0,00;0,00
56;421,6;4;155,4;1;1;1;1;34614,10;421,60;210,00;0,00;2539,84;0,00;0,00;220,00;201,60;0,00;0,00;0,00;0,00;110,00;100,00;0,00;0,00;1322,82;1217,02;0,00;0,00;0,00;0,00
57;417,9;4,1;179,1;1;1;1;1;39192,76;417,90;208,00;0,00;2518,57;0,00;0,00;220,00;197,90;0,00;0,00;0,00;0,00;110,00;98,00;0,00;0,00;1322,82;1195,75;0,00;0,00;0,00;0,00
58;450,5;4,3;168,4;1;1;1;1;40288,39;450,50;225,70;0,00;2706,02;0,00;0,00;220,00;230,50;0,00;0,00;0,00;0,00;110,00;115,70;0,00;0,00;1322,82;1383,20;0,00;0,00;0,00;0,00
59;451,4;4,8;256,4;1;1;1;1;60285,03;451,40;226,19;0,00;2711,19;0,00;0,00;220,00;231,40;0,00;0,00;0,00;0,00;110,00;116,19;0,00;0,00;1322,82;1388,37;0,00;0,00;0,00;0,00
60;448,7;6,5;252,8;1;1;1;1;59071,88;448,70;224,73;0,00;2695,67;0,00;0,00;220,00;228,70;0,00;0,00;0,00;0,00;110,00;114,73;0,00;0,00;1322,82;1372,85;0,00;0,00;0,00;0,00
61;451;8;210,2;1;1;1;1;49785,10;451,00;225,98;0,00;2708,89;0,00;0,00;220,00;231,00;0,00;0,00;0,00;0,00;110,00;115,98;0,00;0,00;1322,82;1386,07;0,00;0,00;0,00;0,00
62;430,6;7,8;241,3;1;1;1;1;53926,81;430,60;214,89;0,00;2591,59;0,00;0,00;220,00;210,60;0,00;0,00;0,00;0,00;110,00;104,89;0,00;0,00;1322,82;1268,77;0,00;0,00;0,00;0,00
63;392,9;6,9;217,6;1;1;1;1;43985,51;392,90;194,41;0,00;2374,82;0,00;0,00;220,00;172,90;0,00;0,00;0,00;0,00;110,00;84,41;0,00;0,00;1322,82;1052,00;0,00;0,00;0,00;0,00
64;332,6;5,9;220,5;1;1;1;1;36699,59;332,60;161,66;0,00;2028,09;0,00;0,00;220,00;112,60;0,00;0,00;0,00;0,00;110,00;51,66;0,00;0,00;1322,82;705,27;0,00;0,00;0,00;0,00
65;307,7;5;243,3;1;1;1;1;36835,61;307,70;148,13;0,00;1884,92;0,00;0,00;220,00;87,70;0,00;0,00;0,00;0,00;110,00;38,13;0,00;0,00;1322,82;562,10;0,00;0,00;0,00;0,00
66;335,8;4,1;254,8;1;1;1;1;42720,70;335,80;163,40;0,00;2046,49;0,00;0,00;220,00;115,80;0,00;0,00;0,00;0,00;110,00;53,40;0,00;0,00;1322,82;723,67;0,00;0,00;0,00;0,00
67;401,5;2,7;242,4;1;1;1;1;50028,84;401,50;199,09;0,00;2424,27;0,00;0,00;220,00;181,50;0,00;0,00;0,00;0,00;110,00;89,09;0,00;0,00;1322,82;1101,45;0,00;0,00;0,00;0,00
68;459,1;2,6;222,5;1;1;1;1;53627,83;459,10;230,38;0,00;2755,47;0,00;0,00;220,00;239,10;0,00;0,00;0,00;0,00;110,00;120,38;0,00;0,00;1322,82;1432,65;0,00;0,00;0,00;0,00
69;462,5;2,6;262,3;1;1;1;1;63316,58;462,50;232,22;0,00;2775,02;0,00;0,00;220,00;242,50;0,00;0,00;0,00;0,00;110,00;122,22;0,00;0,00;1322,82;1452,20;0,00;0,00;0,00;0,00
70;454,7;3,1;175,1;1;1;1;1;42243,77;454,70;227,99;0,00;2730,17;0,00;0,00;220,00;234,70;0,00;0,00;0,00;0,00;110,00;117,99;0,00;0,00;1322,82;1407,35;0,00;0,00;0,00;0,00
71;435,7;2,8;204,8;1;1;1;1;46703,60;435,70;217,66;0,00;2620,92;0,00;0,00;220,00;215,70;0,00;0,00;0,00;0,00;110,00;107,66;0,00;0,00;1322,82;1298,10;0,00;0,00;0,00;0,00
72;397,9;3,7;167,5;1;1;1;1;34752,27;397,90;197,13;0,00;2403,57;0,00;0,00;220,00;177,90;0,00;0,00;0,00;0,00;110,00;87,13;0,00;0,00;1322,82;1080,75;0,00;0,00;0,00;0,00
73;387,9;6,2;172,9;1;1;1;1;34773,57;387,90;191,70;0,00;2346,07;0,00;0,00;220,00;167,90;0,00;0,00;0,00;0,00;110,00;81,70;0,00;0,00;1322,82;1023,25;0,00;0,00;0,00;0,00
74;386,3;7,7;172,7;1;1;1;1;34568,49;386,30;190,83;0,00;2336,87;0,00;0,00;220,00;166,30;0,00;0,00;0,00;0,00;110,00;80,83;0,00;0,00;1322,82;1014,05;0,00;0,00;0,00;0,00
75;383,7;8,4;154,7;1;1;1;1;30888,02;383,70;189,42;0,00;2321,92;0,00;0,00;220,00;163,70;0,00;0,00;0,00;0,00;110,00;79,42;0,00;0,00;1322,82;999,10;0,00;0,00;0,00;0,00
76;357,4;8,3;183;1;1;1;1;33360,60;357,40;175,13;0,00;2170,69;0,00;0,00;220,00;137,40;0,00;0,00;0,00;0,00;110,00;65,13;0,00;0,00;1322,82;847,87;0,00;0,00;0,00;0,00
77;325,9;7,5;187;1;1;1;1;30533,74;325,90;158,02;0,00;1989,57;0,00;0,00;220,00;105,90;0,00;0,00;0,00;0,00;110,00;48,02;0,00;0,00;1322,82;666,75;0,00;0,00;0,00;0,00
78;324,7;7,5;186,2;1;1;1;1;30273,47;324,70;157,37;0,00;1982,67;0,00;0,00;220,00;104,70;0,00;0,00;0,00;0,00;110,00;47,37;0,00;0,00;1322,82;659,85;0,00;0,00;0,00;0,00
79;323,4;7,4;189,8;1;1;1;1;30692,44;323,40;156,66;0,00;1975,19;0,00;0,00;220,00;103,40;0,00;0,00;0,00;0,00;110,00;46,66;0,00;0,00;1322,82;652,37;0,00;0,00;0,00;0,00
80;337,6;7,7;237,6;1;1;1;1;40161,30;337,60;164,38;0,00;2056,84;0,00;0,00;220,00;117,60;0,00;0,00;0,00;0,00;110,00;54,38;0,00;0,00;1322,82;734,02;0,00;0,00;0,00;0,00
81;379;8;231,9;1;1;1;1;44870,10;379,00;186,86;0,00;2294,89;0,00;0,00;220,00;159,00;0,00;0,00;0,00;0,00;110,00;76,86;0,00;0,00;1322,82;972,07;0,00;0,00;0,00;0,00
82;396,3;6,8;243,2;1;1;1;1;49447,06;396,30;196,26;0,00;2394,37;0,00;0,00;220,00;176,30;0,00;0,00;0,00;0,00;110,00;86,26;0,00;0,00;1322,82;1071,55;0,00;0,00;0,00;0,00
83;417,3;6,2;244,5;1;1;1;1;52709,71;417,30;207,67;0,00;2515,12;0,00;0,00;220,00;197,30;0,00;0,00;0,00;0,00;110,00;97,67;0,00;0,00;1322,82;1192,30;0,00;0,00;0,00;0,00
84;428,1;5,9;235,5;1;1;1;1;52334,61;428,10;213,54;0,00;2577,22;0,00;0,00;220,00;208,10;0,00;0,00;0,00;0,00;110,00;103,54;0,00;0,00;1322,82;1254,40;0,00;0,00;0,00;0,00
85;422,3;5,6;234,3;1;1;1;1;51279,86;422,30;210,39;0,00;2543,87;0,00;0,00;220,00;202,30;0,00;0,00;0,00;0,00;110,00;100,39;0,00;0,00;1322,82;1221,05;0,00;0,00;0,00;0,00
86;413,8;5,1;241,4;1;1;1;1;51570,58;413,80;205,77;0,00;2494,99;0,00;0,00;220,00;193,80;0,00;0,00;0,00;0,00;110,00;95,77;0,00;0,00;1322,82;1172,17;0,00;0,00;0,00;0,00
87;358,3;4,7;257,8;1;1;1;1;46595,78;358,30;175,62;0,00;2175,87;0,00;0,00;220,00;138,30;0,00;0,00;0,00;0,00;110,00;65,62;0,00;0,00;1322,82;853,05;0,00;0,00;0,00;0,00
88;328,5;4,6;220;1;1;1;1;36086,15;328,50;159,43;0,00;2004,52;0,00;0,00;220,00;108,50;0,00;0,00;0,00;0,00;110,00;49,43;0,00;0,00;1322,82;681,70;0,00;0,00;0,00;0,00
89;268,6;4,7;235,6;1;1;1;1;30284,31;268,60;126,89;0,00;1660,09;0,00;0,00;220,00;48,60;0,00;0,00;0,00;0,00;110,00;16,89;0,00;0,00;1322,82;337,27;0,00;0,00;0,00;0,00
90;260,7;3,9;240,2;1;1;1;1;29755,08;260,70;122,60;0,00;1614,67;0,00;0,00;220,00;40,70;0,00;0,00;0,00;0,00;110,00;12,60;0,00;0,00;1322,82;291,85;0,00;0,00;0,00;0,00
91;277,3;3,9;264;1;1;1;1;35226,22;277,30;131,62;0,00;1710,12;0,00;0,00;220,00;57,30;0,00;0,00;0,00;0,00;110,00;21,62;0,00;0,00;1322,82;387,30;0,00;0,00;0,00;0,00
92;350;3,7;253,4;1;1;1;1;44594,24;350,00;171,11;0,00;2128,14;0,00;0,00;220,00;130,00;0,00;0,00;0,00;0,00;110,00;61,11;0,00;0,00;1322,82;805,32;0,00;0,00;0,00;0,00
93;413,5;3,3;247,9;1;1;1;1;52864,55;413,50;205,60;0,00;2493,27;0,00;0,00;220,00;193,50;0,00;0,00;0,00;0,00;110,00;95,60;0,00;0,00;1322,82;1170,45;0,00;0,00;0,00;0,00
94;439,3;2,9;204,1;1;1;1;1;46987,80;439,30;219,62;0,00;2641,62;0,00;0,00;220,00;219,30;0,00;0,00;0,00;0,00;110,00;109,62;0,00;0,00;1322,82;1318,80;0,00;0,00;0,00;0,00
95;443,9;2,3;265,7;1;1;1;1;61228,14;443,90;222,12;0,00;2668,07;0,00;0,00;220,00;223,90;0,00;0,00;0,00;0,00;110,00;112,12;0,00;0,00;1322,82;1345,25;0,00;0,00;0,00;0,00
96;433;2,2;165,4;1;1;1;1;37856,96;433,00;216,20;0,00;2605,39;0,00;0,00;220,00;213,00;0,00;0,00;0,00;0,00;110,00;106,20;0,00;0,00;1322,82;1282,57;0,00;0,00;0,00;0,00
