j ;Ptz;t ;K;DA ;DB ;DC ;DD ;Y ;Pt;Pe;Zg;Zw;PtA ;PtB ;PtC ;PtD ;PtS;E;PeA ;PeB ;PeC ;PeD ;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
27;429,3;-2,0;188,4;1;1;1;1;42412,36;429,30;214,19;0,00;2584,12;0,00;0,00;429,30;0,00;0,00;0,00;0,00;0,00;223,69;-9,51;0,00;0,00;2526,30;57,82;0,00;0,00;0,00;0,00
28;432;-3,3;184,8;1;1;1;1;41940,41;432,00;215,65;0,00;2599,64;0,00;0,00;432,00;0,00;0,00;0,00;0,00;0,00;225,16;-9,51;0,00;0,00;2541,82;57,82;0,00;0,00;0,00;0,00
29;410,2;-3,6;184,8;1;1;1;1;39525,29;410,20;203,81;0,00;2474,29;0,00;0,00;410,20;0,00;0,00;0,00;0,00;0,00;213,32;-9,51;0,00;0,00;2416,47;57,82;0,00;0,00;0,00;0,00
30;411,1;-3,0;184,8;1;1;1;1;39625,00;411,10;204,30;0,00;2479,47;0,00;0,00;411,10;0,00;0,00;0,00;0,00;0,00;213,81;-9,51;0,00;0,00;2421,65;57,82;0,00;0,00;0,00;0,00
31;481,6;-4,1;188,4;1;1;1;1;48308,70;481,60;242,60;0,00;2884,84;0,00;0,00;481,60;0,00;0,00;0,00;0,00;0,00;252,10;-9,51;0,00;0,00;2827,02;57,82;0,00;0,00;0,00;0,00
32;475,4;-3,4;188,4;1;1;1;1;47609,71;475,40;239,23;0,00;2849,19;0,00;0,00;475,40;0,00;0,00;0,00;0,00;0,00;248,74;-9,51;0,00;0,00;2791,37;57,82;0,00;0,00;0,00;0,00
33;464,8;-2,4;204,9;1;1;1;1;50266,94;464,80;233,47;0,00;2788,24;0,00;0,00;464,80;0,00;0,00;0,00;0,00;0,00;242,98;-9,51;0,00;0,00;2730,42;57,82;0,00;0,00;0,00;0,00
34;446,1;-1,0;267,1;1;1;1;1;61881,19;446,10;223,31;0,00;2680,72;0,00;0,00;446,10;0,00;0,00;0,00;0,00;0,00;232,82;-9,51;0,00;0,00;2622,90;57,82;0,00;0,00;0,00;0,00
35;400,8;0,7;269,2;1;1;1;1;55254,71;400,80;198,71;0,00;2420,24;0,00;0,00;400,80;0,00;0,00;0,00;0,00;0,00;208,21;-9,51;0,00;0,00;2362,42;57,82;0,00;0,00;0,00;0,00
36;385,6;2,3;269,2;1;1;1;1;52873,90;385,60;190,45;0,00;2332,84;0,00;0,00;385,60;0,00;0,00;0,00;0,00;0,00;199,96;-9,51;0,00;0,00;2275,02;57,82;0,00;0,00;0,00;0,00
37;346,7;3,6;269,2;1;1;1;1;46780,91;346,70;169,32;0,00;2109,17;0,00;0,00;346,70;0,00;0,00;0,00;0,00;0,00;178,82;-9,51;0,00;0,00;2051,35;57,82;0,00;0,00;0,00;0,00
38;283,6;4,5;269,2;1;1;1;1;36897,43;283,60;135,04;0,00;1746,34;0,00;0,00;283,60;0,00;0,00;0,00;0,00;0,00;144,55;-9,51;0,00;0,00;1688,52;57,82;0,00;0,00;0,00;0,00
39;280,3;5,0;269,2;1;1;1;1;36380,54;280,30;133,25;0,00;1727,37;0,00;0,00;280,30;0,00;0,00;0,00;0,00;0,00;142,76;-9,51;0,00;0,00;1669,55;57,82;0,00;0,00;0,00;0,00
40;309,2;4,9;269,2;1;1;1;1;40907,21;309,20;148,95;0,00;1893,54;0,00;0,00;309,20;0,00;0,00;0,00;0,00;0,00;158,45;-9,51;0,00;0,00;1835,72;57,82;0,00;0,00;0,00;0,00
41;347,4;4,3;269,2;1;1;1;1;46890,56;347,40;169,70;0,00;2113,19;0,00;0,00;347,40;0,00;0,00;0,00;0,00;0,00;179,20;-9,51;0,00;0,00;2055,37;57,82;0,00;0,00;0,00;0,00
42;353;3,7;269,2;1;1;1;1;47767,70;353,00;172,74;0,00;2145,39;0,00;0,00;353,00;0,00;0,00;0,00;0,00;0,00;182,25;-9,51;0,00;0,00;2087,57;57,82;0,00;0,00;0,00;0,00
43;356,4;3,0;269,2;1;1;1;1;48300,25;356,40;174,59;0,00;2164,94;0,00;0,00;356,40;0,00;0,00;0,00;0,00;0,00;184,09;-9,51;0,00;0,00;2107,12;57,82;0,00;0,00;0,00;0,00
44;365,8;2,6;269,2;1;1;1;1;49772,59;365,80;179,69;0,00;2218,99;0,00;0,00;365,80;0,00;0,00;0,00;0,00;0,00;189,20;-9,51;0,00;0,00;2161,17;57,82;0,00;0,00;0,00;0,00
45;384,1;2,6;269,2;1;1;1;1;52638,95;384,10;189,63;0,00;2324,22;0,00;0,00;384,10;0,00;0,00;0,00;0,00;0,00;199,14;-9,51;0,00;0,00;2266,40;57,82;0,00;0,00;0,00;0,00
46;401,1;2,8;236,6;1;1;1;1;48818,57;401,10;198,87;0,00;2421,97;0,00;0,00;401,10;0,00;0,00;0,00;0,00;0,00;208,38;-9,51;0,00;0,00;2364,15;57,82;0,00;0,00;0,00;0,00
47;425,4;2,9;186,4;1;1;1;1;41548,54;425,40;212,07;0,00;2561,69;0,00;0,00;425,40;0,00;0,00;0,00;0,00;0,00;221,58;-9,51;0,00;0,00;2503,87;57,82;0,00;0,00;0,00;0,00
48;407,6;2,8;173,1;1;1;1;1;36869,17;407,60;202,40;0,00;2459,34;0,00;0,00;407,60;0,00;0,00;0,00;0,00;0,00;211,91;-9,51;0,00;0,00;2401,52;57,82;0,00;0,00;0,00;0,00
49;432;3,4;171,9;1;1;1;1;39158,47;432,00;215,65;0,00;2599,64;0,00;0,00;432,00;0,00;0,00;0,00;0,00;0,00;225,16;-9,51;0,00;0,00;2541,82;57,82;0,00;0,00;0,00;0,00
50;441,3;3,1;170,5;1;1;1;1;39814,61;441,30;220,71;0,00;2653,12;0,00;0,00;441,30;0,00;0,00;0,00;0,00;0,00;230,21;-9,51;0,00;0,00;2595,30;57,82;0,00;0,00;0,00;0,00
51;396,4;2,8;170,5;1;1;1;1;35189,14;396,40;196,32;0,00;2394,94;0,00;0,00;396,40;0,00;0,00;0,00;0,00;0,00;205,82;-9,51;0,00;0,00;2337,12;57,82;0,00;0,00;0,00;0,00
52;429;2,5;170,5;1;1;1;1;38547,50;429,00;214,02;0,00;2582,39;0,00;0,00;429,00;0,00;0,00;0,00;0,00;0,00;223,53;-9,51;0,00;0,00;2524,57;57,82;0,00;0,00;0,00;0,00
53;423,5;1,7;170,5;1;1;1;1;37980,90;423,50;211,04;0,00;2550,77;0,00;0,00;423,50;0,00;0,00;0,00;0,00;0,00;220,54;-9,51;0,00;0,00;2492,95;57,82;0,00;0,00;0,00;0,00
54;454,1;0,1;170,5;1;1;1;1;41133,23;454,10;227,66;0,00;2726,72;0,00;0,00;454,10;0,00;0,00;0,00;0,00;0,00;237,17;-9,51;0,00;0,00;2668,90;57,82;0,00;0,00;0,00;0,00
55;458,6;-1,3;170,5;1;1;1;1;41596,81;458,60;230,10;0,00;2752,59;0,00;0,00;458,60;0,00;0,00;0,00;0,00;0,00;239,61;-9,51;0,00;0,00;2694,77;57,82;0,00;0,00;0,00;0,00
56;457,6;-1,0;170,5;1;1;1;1;41493,79;457,60;229,56;0,00;2746,84;0,00;0,00;457,60;0,00;0,00;0,00;0,00;0,00;239,07;-9,51;0,00;0,00;2689,02;57,82;0,00;0,00;0,00;0,00
57;456,2;-0,3;174,2;1;1;1;1;42196,13;456,20;228,80;0,00;2738,79;0,00;0,00;456,20;0,00;0,00;0,00;0,00;0,00;238,31;-9,51;0,00;0,00;2680,97;57,82;0,00;0,00;0,00;0,00
58;439,5;0,7;183,8;1;1;1;1;42551,57;439,50;219,73;0,00;2642,77;0,00;0,00;439,50;0,00;0,00;0,00;0,00;0,00;229,23;-9,51;0,00;0,00;2584,95;57,82;0,00;0,00;0,00;0,00
59;398,5;1,9;233,6;1;1;1;1;47865,00;398,50;197,46;0,00;2407,02;0,00;0,00;398,50;0,00;0,00;0,00;0,00;0,00;206,96;-9,51;0,00;0,00;2349,20;57,82;0,00;0,00;0,00;0,00
60;340,3;3,3;233,6;1;1;1;1;39874,49;340,30;165,84;0,00;2072,37;0,00;0,00;340,30;0,00;0,00;0,00;0,00;0,00;175,35;-9,51;0,00;0,00;2014,55;57,82;0,00;0,00;0,00;0,00
61;314,7;4,5;233,6;1;1;1;1;36359,77;314,70;151,94;0,00;1925,17;0,00;0,00;314,70;0,00;0,00;0,00;0,00;0,00;161,44;-9,51;0,00;0,00;1867,35;57,82;0,00;0,00;0,00;0,00
62;338,9;5,0;233,6;1;1;1;1;39682,28;338,90;165,08;0,00;2064,32;0,00;0,00;338,90;0,00;0,00;0,00;0,00;0,00;174,59;-9,51;0,00;0,00;2006,50;57,82;0,00;0,00;0,00;0,00
63;408,2;4,9;233,6;1;1;1;1;49196,75;408,20;202,73;0,00;2462,79;0,00;0,00;408,20;0,00;0,00;0,00;0,00;0,00;212,23;-9,51;0,00;0,00;2404,97;57,82;0,00;0,00;0,00;0,00
64;464,5;4,4;186,9;1;1;1;1;46030,87;464,50;233,31;0,00;2786,52;0,00;0,00;464,50;0,00;0,00;0,00;0,00;0,00;242,81;-9,51;0,00;0,00;2728,70;57,82;0,00;0,00;0,00;0,00
